"Date","New National","New CABA","New PBA","New PBA (minus conurbano)","Conurbano","AMBA","% PBA in Conurbano"
"2020-08-15","6663","915","4438","538","3900","4815","0.878774222622803"
"2020-08-16","5457","962","3115","375","2740","3702","0.879614767255217"
"2020-08-17","4568","720","2526","247","2279","2999","0.90221694378464"
"2020-08-18","6854","1057","4585","541","4044","5101","0.882006543075245"
"2020-08-19","6693","1094","4303","441","3862","4956","0.89751336277016"
"2020-08-20","8225","1280","5245","779","4466","5746","0.851477597712107"
"2020-08-21","8159","1179","5322","631","4691","5870","0.881435550544908"
"2020-08-22","7759","1100","4838","511","4327","5427","0.894377842083506"
"2020-08-23","5352","1020","2829","352","2477","3497","0.875574407917992"
"2020-08-24","8713","1333","5656","681","4975","6308","0.879596888260255"
"2020-08-25","8770","1311","5312","649","4663","5974","0.877823795180723"
"2020-08-26","10551","1568","6628","704","5924","7492","0.893783946891973"
"2020-08-27","10104","1220","6402","772","5630","6850","0.879412683536395"
"2020-08-28","11717","1430","7486","866","6620","8050","0.884317392465936"
"2020-08-29","9234","1197","5547","1464","4083","5280","0.736073553272039"
"2020-08-30","7183","1233","3885","-198","4083","5316","1.05096525096525"
"2020-08-31","9309","1387","5141","582","4559","5946","0.886792452830189"
"2020-09-01","10508","1397","6159","889.5","5269.5","6666.5","0.855577204091573"
"2020-09-02","10928","1344","6232","962.5","5269.5","6613.5","0.845555198973042"
"2020-09-03","12031","1413","6993","1625","5368","6781","0.767624767624768"
"2020-09-04","10680","1276","5680","312","5368","6644","0.945070422535211"
"2020-09-05","9928","1086","5322","1902","3420","4506","0.642615558060879"
"2020-09-06","6982","800","3267","-153","3420","4220","1.04683195592286"
"2020-09-07","9215","1089","4633","816","3817","4906","0.823872221023095"
"2020-09-08","8923","1051","4893","999","3894","4945","0.795830778663397"
"2020-09-09","15363","1513","8282","1358","6924","8437","0.83602994445786"
"2020-09-10","11905","1284","6252","1148","5104","6388","0.816378758797185"
"2020-09-11","11507","1215","5732","1006","4726","5941","0.824494068387997"
"2020-09-12","10776","985","5862","1217","4645","5630","0.792391675196179"
"2020-09-13","9060","845","3691","241.5","3449.5","4294.5","0.934570577079382"
"2020-09-14","9905","944","4861","1411.5","3449.5","4393.5","0.709627648631969"
"2020-09-15","11888","1010","5997","1360","4637","5647","0.773219943304986"
"2020-09-16","11678","813","6082","1450","4632","5445","0.761591581716541"
"2020-09-17","12701","1156","6319","1310","5009","6165","0.792688716569077"
"2020-09-18","11944","1070","5708","1172","4536","5606","0.794674141555711"
"2020-09-19","9281","685","3879","1050.5","2828.5","3513.5","0.72918277906677"
"2020-09-20","8427","694","3643","814.5","2828.5","3522.5","0.776420532528136"
"2020-09-21","8782","678","3700","883","2817","3495","0.761351351351351"
"2020-09-22","12027","927","5344","1424","3920","4847","0.733532934131736"
"2020-09-23","12624","929","5389","1521","3868","4797","0.717758396734088"
"2020-09-24","13472","1011","6124","1813.5","4310.5","5321.5","0.703870019595036"
"2020-09-25","12964","924","5597","1286.5","4310.5","5234.5","0.770144720385921"
"2020-09-26","11250","917","4481","1346","3135","4052","0.699620620397233"
"2020-09-27","8841","628","2947","970","1977","2605","0.670851713607058"
"2020-09-28","11807","787","4544","1263","3281","4068","0.722051056338028"
"2020-09-29","13477","993","5328","1366","3962","4955","0.743618618618619"
"2020-09-30","14392","898","5943","1773","4170","5068","0.701665825340737"
"2020-10-01","14001","924","5407","1639","3768","4692","0.696874422045497"
"2020-10-02","14691","1052","5697","2091.5","3605.5","4657.5","0.632876952782166"
"2020-10-03","11125","799","4505","899.5","3605.5","4404.5","0.800332963374029"
"2020-10-04","7668","533","2648","903","1745","2278","0.658987915407855"
"2020-10-05","11240","684","4470","1349","3121","3805","0.69821029082774"
"2020-10-06","14742","883","5660","1612","4048","4931","0.715194346289753"
"2020-10-07","16447","956","5222","1675","3547","4503","0.679241669858292"
"2020-10-08","15454","937","5184","1647","3537","4474","0.682291666666667"
"2020-10-09","15098","874","5346","1614","3732","4606","0.698092031425365"
"2020-10-10","12419","744","4076","2025.5","2050.5","2794.5","0.503066732090285"
"2020-10-11","10320","640","2540","489.5","2050.5","2690.5","0.807283464566929"
"2020-10-12","9524","499","2221","797","1424","1923","0.641152633948672"
"2020-10-13","13304","745","4665","1412","3253","3998","0.697320471596999"
"2020-10-14","14929","825","5173","1754","3419","4244","0.660931761067079"
"2020-10-15","17099","830","5758","1957","3801","4631","0.660125043417853"
"2020-10-16","16551","954","5202","2176","3026","3980","0.581699346405229"
"2020-10-17","13506","608","4417","1391","3026","3634","0.685080371292733"
"2020-10-18","10559","517","2382","1081","1301","1818","0.546179680940386"
"2020-10-19","12984","557","4207","1383","2824","3381","0.67126218207749"
